"tSNE1" "tSNE2" "prediction" "batch"
-19.0149275554053 13.9432828504439 "CD16+ Monocytes" "asapseq_control_atac"
-25.5330601558433 24.5616720459007 "DC" "asapseq_control_atac"
-20.3922457402542 17.7584485092976 "DC" "asapseq_control_atac"
-8.18749693028747 41.9316618315754 "B" "asapseq_control_atac"
-44.183024874796 15.4146980820246 "DC" "asapseq_control_atac"
-8.59123977146848 41.7174376531869 "B" "asapseq_control_atac"
-31.4140072263496 23.3886826165245 "DC" "asapseq_control_atac"
-9.27532381181029 47.7066960272094 "B" "asapseq_control_atac"
-14.1771640429141 37.8929487520321 "B" "asapseq_control_atac"
-7.61732130885621 43.4637083638912 "B" "asapseq_control_atac"
-11.4094293489426 40.3802065114642 "B" "asapseq_control_atac"
-8.23688142367911 49.0391033448163 "B" "asapseq_control_atac"
-9.78608996634309 48.0451690991878 "B" "asapseq_control_atac"
-15.9297453145777 33.9051993510696 "B" "asapseq_control_atac"
-8.34295362159234 41.7479898019203 "B" "asapseq_control_atac"
-8.03129653999305 42.7836485293738 "B" "asapseq_control_atac"
-8.53032210900911 41.9244017957962 "B" "asapseq_control_atac"
9.92730540401056 -47.205684900123 "Memory CD4+ T" "asapseq_control_atac"
-21.0832182485587 13.8351399085616 "CD16+ Monocytes" "asapseq_control_atac"
-16.5256475235402 34.1842807235121 "B" "asapseq_control_atac"
-21.7317466289054 13.7851127877466 "DC" "asapseq_control_atac"
-28.7780804991887 12.9753343284236 "DC" "asapseq_control_atac"
30.4859363075843 21.0613076330794 "CD16+ Monocytes" "asapseq_control_atac"
-8.45291602035489 41.9809273042966 "B" "asapseq_control_atac"
-14.0388572825076 37.8924973792383 "B" "asapseq_control_atac"
-29.9725841244927 16.3162256836253 "DC" "asapseq_control_atac"
-8.47318340430764 41.8761365176279 "B" "asapseq_control_atac"
-8.64826268602993 41.9211189594255 "B" "asapseq_control_atac"
-26.0532153280924 24.2797013588184 "DC" "asapseq_control_atac"
-32.3400692457127 23.5990293301995 "DC" "asapseq_control_atac"
-13.0933319041759 -33.3679662623738 "Memory CD4+ T" "asapseq_control_atac"
-8.72222194224242 41.8592114381317 "B" "asapseq_control_atac"
-8.16871747596264 41.8111689895749 "B" "asapseq_control_atac"
-9.88731309244439 44.6149030238387 "B" "asapseq_control_atac"
-17.5132775763503 44.7579089387054 "B" "asapseq_control_atac"
-37.9526793306777 -12.2438745717956 "CD14+ Monocytes" "asapseq_control_atac"
-8.16598773064246 48.4960086975957 "B" "asapseq_control_atac"
-17.4402046931469 34.0682226487573 "B" "asapseq_control_atac"
-16.23214781265 33.9200951951141 "B" "asapseq_control_atac"
35.5065320843134 -13.6644878613785 "Memory CD8+ T" "asapseq_control_atac"
-43.5923617654993 15.7004589600129 "DC" "asapseq_control_atac"
11.7800320836562 -48.7996694031231 "Memory CD4+ T" "asapseq_control_atac"
-8.00250485975329 48.9943687443569 "B" "asapseq_control_atac"
-9.94796742047497 41.2538474471066 "B" "asapseq_control_atac"
-33.1654132911637 12.7677968513571 "DC" "asapseq_control_atac"
-20.6999138729425 29.2377215909769 "B" "asapseq_control_atac"
-29.9455749655352 12.1139924251346 "DC" "asapseq_control_atac"
-20.9585867171752 18.5954042567917 "DC" "asapseq_control_atac"
-43.614938239053 11.0314386948123 "DC" "asapseq_control_atac"
-8.73254864768339 42.1441862965673 "B" "asapseq_control_atac"
-9.12866848383718 41.2957895843771 "B" "asapseq_control_atac"
-9.80440466278392 41.2926095276948 "B" "asapseq_control_atac"
-12.5844797347025 35.2177162730257 "B" "asapseq_control_atac"
-2.61546676030403 -35.061392736312 "Memory CD4+ T" "asapseq_control_atac"
-8.90776942972531 42.0873634216452 "B" "asapseq_control_atac"
-25.3253916253172 24.6419217881601 "DC" "asapseq_control_atac"
-22.393817803039 17.7911347927498 "DC" "asapseq_control_atac"
2.22243239966385 -37.00760021631 "Memory CD4+ T" "asapseq_control_atac"
-12.701399831333 41.2288668653695 "B" "asapseq_control_atac"
-28.8605157153763 15.727392685589 "DC" "asapseq_control_atac"
-29.7729181192434 12.2598852115356 "DC" "asapseq_control_atac"
-38.6246389927219 18.686977731595 "DC" "asapseq_control_atac"
-25.850593951415 24.4526615580284 "DC" "asapseq_control_atac"
-27.5898262362541 18.2272987278996 "DC" "asapseq_control_atac"
-43.2180544063705 6.17261199324355 "DC" "asapseq_control_atac"
-20.4648825462355 17.4147392419205 "DC" "asapseq_control_atac"
-33.1979398170435 13.1749949297175 "DC" "asapseq_control_atac"
-7.97512106654736 49.5951373557715 "B" "asapseq_control_atac"
-24.1943537159824 40.8263059254593 "B" "asapseq_control_atac"
-11.7189027759981 39.2108587568902 "B" "asapseq_control_atac"
20.3509381436502 15.9121111822903 "CD14+ Monocytes" "asapseq_control_atac"
-36.0289561553518 19.7930441955905 "DC" "asapseq_control_atac"
-23.6964391894997 9.87422053343949 "DC" "asapseq_control_atac"
-44.4180986982409 10.9056652530932 "DC" "asapseq_control_atac"
-8.65462014825992 42.0203825107309 "B" "asapseq_control_atac"
-33.239467009532 16.7740027429451 "DC" "asapseq_control_atac"
-37.8228626931378 18.1051977913138 "DC" "asapseq_control_atac"
3.57054172973493 -45.9434297889317 "Memory CD4+ T" "asapseq_control_atac"
-15.6697289343909 33.8039676193505 "B" "asapseq_control_atac"
-8.78398263526392 41.9957250796717 "B" "asapseq_control_atac"
-27.5155854204176 12.4463704017687 "DC" "asapseq_control_atac"
-11.7781397366727 37.7175430119128 "B" "asapseq_control_atac"
-15.6687099182905 33.8715683995411 "B" "asapseq_control_atac"
