"UMAP1" "UMAP2" "prediction" "batch"
-7.96417519840557 3.89741163693433 "CD16+ Monocytes" "asapseq_control_atac"
-8.58647248539287 6.41200857602124 "DC" "asapseq_control_atac"
-7.87667844089825 5.19651108227735 "DC" "asapseq_control_atac"
-3.82209107670147 15.8580744787312 "B" "asapseq_control_atac"
-8.78098103794414 7.58623056851392 "DC" "asapseq_control_atac"
-3.83994004520733 15.508404068575 "B" "asapseq_control_atac"
-9.6969651916917 7.27068214856153 "DC" "asapseq_control_atac"
-2.60209557804424 15.9601691289998 "B" "asapseq_control_atac"
-3.64265105518658 14.713141731844 "B" "asapseq_control_atac"
-3.41813370975811 15.7398436590291 "B" "asapseq_control_atac"
-3.93700072559673 14.6580603643513 "B" "asapseq_control_atac"
-2.02647397312481 15.6187117620564 "B" "asapseq_control_atac"
-2.58420059475262 15.6652987524128 "B" "asapseq_control_atac"
-4.21986291202862 13.9735186620808 "B" "asapseq_control_atac"
-3.86604306492168 15.6961157842732 "B" "asapseq_control_atac"
-3.75298878940899 15.517021469698 "B" "asapseq_control_atac"
-3.81248090061504 15.6683295293904 "B" "asapseq_control_atac"
-11.3119735458787 -1.50072342909808 "Memory CD4+ T" "asapseq_control_atac"
-8.15769097599346 4.71228390179639 "CD16+ Monocytes" "asapseq_control_atac"
-4.29432151111919 13.9516356512166 "B" "asapseq_control_atac"
-8.30474278721172 4.91297274075513 "DC" "asapseq_control_atac"
-9.13147542270977 5.61448650799756 "DC" "asapseq_control_atac"
-2.62614104542095 -2.03723806895251 "CD16+ Monocytes" "asapseq_control_atac"
-3.86638638767559 15.7770827337361 "B" "asapseq_control_atac"
-3.65638205799419 14.8931153341389 "B" "asapseq_control_atac"
-9.65945908817608 6.04939108334546 "DC" "asapseq_control_atac"
-3.8099384048875 15.7428191228962 "B" "asapseq_control_atac"
-3.82226941379864 15.6757567449666 "B" "asapseq_control_atac"
-8.78134534153301 6.74667768918042 "DC" "asapseq_control_atac"
-9.21516988071758 7.42815762005811 "DC" "asapseq_control_atac"
-8.42018792423565 -3.37891978777881 "Memory CD4+ T" "asapseq_control_atac"
-3.73197362217266 15.6500189825154 "B" "asapseq_control_atac"
-3.83101460728008 15.7763751073933 "B" "asapseq_control_atac"
-3.29967973026592 15.9157374425984 "B" "asapseq_control_atac"
-2.23499843868572 14.7306521459675 "B" "asapseq_control_atac"
4.24746682849567 -10.0911938623332 "CD14+ Monocytes" "asapseq_control_atac"
-2.35992429050762 15.9138148351765 "B" "asapseq_control_atac"
-4.26209494861919 13.6504719778157 "B" "asapseq_control_atac"
-4.32630822452862 14.0324719472981 "B" "asapseq_control_atac"
7.11419108119648 9.46615438900952 "Memory CD8+ T" "asapseq_control_atac"
-8.36133954319317 7.65228586636548 "DC" "asapseq_control_atac"
-11.432245228618 -1.27809829272265 "Memory CD4+ T" "asapseq_control_atac"
-2.16082880291302 15.7940314336873 "B" "asapseq_control_atac"
-3.49574277195293 15.2832301183796 "B" "asapseq_control_atac"
-8.9889802673753 6.23006849728589 "DC" "asapseq_control_atac"
-4.29737183842022 13.0779498144246 "B" "asapseq_control_atac"
-8.97661587986309 5.93605595074659 "DC" "asapseq_control_atac"
-8.80892178806621 7.1521442457295 "DC" "asapseq_control_atac"
-7.62454793247539 6.95622282467847 "DC" "asapseq_control_atac"
-3.61426303181011 15.7250216528035 "B" "asapseq_control_atac"
